INSERT INTO PSU VALUES( 'SuperNOVA 850', 'EVGA', '117.99', '850W', '80+ Gold');
INSERT INTO PSU VALUES( 'SuperNOVA 650', 'EVGA', '64.99', '650W', '80+ Gold');
INSERT INTO PSU VALUES( 'P1-550S-XXB9', 'XFX', '52.98', '550W', '80+ Bronze');
INSERT INTO PSU VALUES( 'TX750M', 'Corsair', '$0', '750W', '80+ Bronze');
INSERT INTO PSU VALUES( 'SSR-650RM', 'SeaSonic', '69.99', '650W', '80+ Gold');
INSERT INTO PSU VALUES( 'AX850', 'Corsair', '$0', '850W', '80+ Gold');
INSERT INTO PSU VALUES( 'HCG-750M', 'Antec', '84.99', '750W', '80+ Bronze');
INSERT INTO PSU VALUES( 'HX850i', 'Corsair', '119.99', '850W', '80+ Platinum');
INSERT INTO PSU VALUES( 'HX1000i', 'Corsair', '178.79', '1000W', '80+ Platinum');
INSERT INTO PSU VALUES( 'CAPSTONE-750-M', 'Rosewill', '$0', '750W', '80+ Gold');
INSERT INTO PSU VALUES( 'RM1000', 'Corsair', '139.99', '1000W', '80+ Gold');
INSERT INTO PSU VALUES( '500B', 'EVGA', '45.80', '500W', '80+ Bronze');
INSERT INTO PSU VALUES( 'SuperNOVA NEX 750 B', 'EVGA', '$0', '750W', '80+ Bronze');
INSERT INTO PSU VALUES( 'RM850', 'Corsair', '129.99', '850W', '80+ Gold');
INSERT INTO PSU VALUES( 'SuperNOVA 750', 'EVGA', '89.99', '750W', '80+ Gold');
INSERT INTO PSU VALUES( '100-W1-0500-KR', 'EVGA', '29.99', '500W', '80+');
INSERT INTO PSU VALUES( 'P1-450S-X2B9', 'XFX', '$0', '450W', '80+ Bronze');
INSERT INTO PSU VALUES( 'HALE90-850-M', 'NZXT', '$0', '850W', '80+ Gold');
INSERT INTO PSU VALUES( 'HCP-750', 'Antec', '183.63', '750W', '80+ Gold');
INSERT INTO PSU VALUES( 'Hive-750', 'Rosewill', '76.40', '750W', '80+ Bronze');
INSERT INTO PSU VALUES( 'P1-550B-BEFX', 'XFX', '78.99', '550W', '80+ Gold');
INSERT INTO PSU VALUES( 'ST65F-G', 'Silverstone', '122.40', '650W', '80+ Gold');
INSERT INTO PSU VALUES( '100-W1-0430-KR', 'EVGA', '24.99', '430W', '80+');
INSERT INTO PSU VALUES( 'HX750i', 'Corsair', '139.99', '750W', '80+ Platinum');
INSERT INTO PSU VALUES( 'CS750M', 'Corsair', '99.99', '750W', '80+ Gold');
INSERT INTO PSU VALUES( 'SS-660XP2', 'SeaSonic', '130.99', '660W', '80+ Platinum');
INSERT INTO PSU VALUES( 'TX850M', 'Corsair', '$0', '850W', '80+ Bronze');
INSERT INTO PSU VALUES( 'Hive-650', 'Rosewill', '69.89', '650W', '80+ Bronze');
INSERT INTO PSU VALUES( 'CX600', 'Corsair', '29.99', '600W', '80+ Bronze');
INSERT INTO PSU VALUES( 'SuperNOVA NEX750B', 'EVGA', '64.99', '750W', '80+ Bronze');
INSERT INTO PSU VALUES( 'HX1050', 'Corsair', '278.63', '1050W', '80+ Gold');
INSERT INTO PSU VALUES( 'RS850-AFBAG1-US', 'Cooler Master', '129.99', '850W', '80+ Gold');
INSERT INTO PSU VALUES( 'RSA00-AFBAG1-US', 'Cooler Master', '169.99', '1000W', '80+ Gold');
INSERT INTO PSU VALUES( 'ST55F-G', 'Silverstone', '114.99', '550W', '80+ Gold');
INSERT INTO PSU VALUES( 'TX750 V2', 'Corsair', '180.99', '750W', '80+ Bronze');
INSERT INTO PSU VALUES( 'SuperNOVA 750', 'EVGA', '59.99', '750W', '80+ Bronze');
INSERT INTO PSU VALUES( 'TP-650C', 'Antec', '$0', '650W', '80+ Gold');
INSERT INTO PSU VALUES( 'CX430', 'Corsair', '14.99', '430W', '80+ Bronze');
INSERT INTO PSU VALUES( 'TX650 V2', 'Corsair', '$0', '650W', '80+ Bronze');
INSERT INTO PSU VALUES( 'HCG-520M', 'Antec', '72.57', '520W', '80+ Bronze');
INSERT INTO PSU VALUES( '600B', 'EVGA', '44.99', '600W', '80+ Bronze');
INSERT INTO PSU VALUES( 'SSR-450RM', 'SeaSonic', '73.99', '450W', '80+ Gold');
INSERT INTO PSU VALUES( 'COUGAR-1000CMX', 'Cougar', '124.98', '1000W', '80+ Bronze');
INSERT INTO PSU VALUES( 'P1-850B-NLG9', 'XFX', '$0', '850W', '80+ Silver');
INSERT INTO PSU VALUES( 'CAPSTONE-450', 'Rosewill', '$0', '450W', '80+ Gold');
INSERT INTO PSU VALUES( 'OCZ-FTY1000W', 'OCZ', '169.99', '1000W', '80+ Gold');
INSERT INTO PSU VALUES( 'SSR-750RM', 'SeaSonic', '102.99', '750W', '80+ Gold');
INSERT INTO PSU VALUES( 'CX750', 'Corsair', '71.99', '750W', '80+ Bronze');
INSERT INTO PSU VALUES( 'SS-750KM3', 'SeaSonic', '124.99', '750W', '80+ Gold');
INSERT INTO PSU VALUES( 'CAPSTONE-650-M', 'Rosewill', '$0', '650W', '80+ Gold');
INSERT INTO PSU VALUES( 'P1-750S-NLB9', 'XFX', '78.99', '750W', '80+ Bronze');
INSERT INTO PSU VALUES( 'SP-550PCBUS', 'Thermaltake', '49.99', '550W', '80+ Bronze');
INSERT INTO PSU VALUES( 'CAPSTONE-550-M', 'Rosewill', '$0', '550W', '80+ Gold');
INSERT INTO PSU VALUES( 'PS-TPD-0750MPCGUS-1', 'Thermaltake', '57.98', '750W', '80+ Gold');
INSERT INTO PSU VALUES( 'CX500', 'Corsair', '52.44', '500W', '80+ Bronze');
INSERT INTO PSU VALUES( 'ST45SF-G', 'Silverstone', '79.99', '450W', '80+ Gold');
INSERT INTO PSU VALUES( 'HALE82 V2 550W', 'NZXT', '$0', '550W', '80+ Bronze');
INSERT INTO PSU VALUES( 'RM550', 'Corsair', '103.98', '550W', '80+ Gold');
INSERT INTO PSU VALUES( 'RS700-AFBAG1-US', 'Cooler Master', '155.98', '700W', '80+ Gold');
INSERT INTO PSU VALUES( 'P1-750X-XXB9', 'XFX', '$0', '750W', '80+ Bronze');
INSERT INTO PSU VALUES( 'P1-650X-XXB9', 'XFX', '$0', '650W', '80+ Bronze');
INSERT INTO PSU VALUES( 'OCZ-ZT750W', 'OCZ', '99.99', '750W', '80+ Bronze');
INSERT INTO PSU VALUES( 'SP-850M', 'Thermaltake', '102.99', '850W', '80+ Bronze');
INSERT INTO PSU VALUES( 'Power & Cooling PPCMK3S750', 'PC', '159.03', '750W', '80+ Gold');
INSERT INTO PSU VALUES( 'CAPSTONE-750', 'Rosewill', '99.89', '750W', '80+ Gold');
INSERT INTO PSU VALUES( 'CAPSTONE-550', 'Rosewill', '$0', '550W', '80+ Gold');
INSERT INTO PSU VALUES( 'EA-650 Green', 'Antec', '66.99', '650W', '80+ Bronze');
INSERT INTO PSU VALUES( 'VP-450', 'Antec', '29.99', '450W', '-');
INSERT INTO PSU VALUES( 'Hive-550', 'Rosewill', '55.99', '550W', '80+ Bronze');
INSERT INTO PSU VALUES( 'S12II 620 Bronze', 'SeaSonic', '64.99', '620W', '80+ Bronze');
INSERT INTO PSU VALUES( 'LIGHTNING-800', 'Rosewill', '$0', '800W', '80+ Gold');
INSERT INTO PSU VALUES( 'AX1500i', 'Corsair', '409.99', '1500W', '80+ Titanium');
INSERT INTO PSU VALUES( 'P1-750B-NLG9', 'XFX', '$0', '750W', '80+ Silver');
INSERT INTO PSU VALUES( 'OCZ-ZX1000W', 'OCZ', '179.99', '1000W', '80+ Gold');
INSERT INTO PSU VALUES( 'SuperNOVA 850', 'EVGA', '59.99', '850W', '80+ Bronze');
INSERT INTO PSU VALUES( 'P1-650S-NLB9', 'XFX', '69.99', '650W', '80+ Bronze');
INSERT INTO PSU VALUES( 'P1-650B-BEFX', 'XFX', '86.98', '650W', '80+ Gold');
INSERT INTO PSU VALUES( 'RSA00-80GAD3-US', 'Cooler Master', '$0', '1000W', '80+ Gold');
INSERT INTO PSU VALUES( 'RSA00-AMBAJ3-US', 'Cooler Master', '$0', '1000W', '80+ Bronze');
INSERT INTO PSU VALUES( 'GS800', 'Corsair', '$0', '800W', '80+ Bronze');
INSERT INTO PSU VALUES( 'BP550 Plus', 'Antec', '$0', '550W', '80+');
INSERT INTO PSU VALUES( 'SX600-G', 'Silverstone', '117.99', '600W', '80+ Gold');
INSERT INTO PSU VALUES( 'CS850M', 'Corsair', '89.99', '850W', '80+ Gold');
INSERT INTO PSU VALUES( 'RS650-AMAAG1-S1', 'Cooler Master', '59.99', '650W', '80+ Gold');
INSERT INTO PSU VALUES( 'FORTRESS-650', 'Rosewill', '138.40', '650W', '80+ Platinum');
INSERT INTO PSU VALUES( 'RD700', 'Rosewill', '79.88', '700W', '-');
INSERT INTO PSU VALUES( 'HALE82N 750W', 'NZXT', '$0', '750W', '80+ Bronze');
INSERT INTO PSU VALUES( 'TPD-0550M', 'Thermaltake', '44.00', '550W', '80+ Gold');
INSERT INTO PSU VALUES( 'SS-760XP', 'SeaSonic', '159.99', '760W', '80+ Platinum');
INSERT INTO PSU VALUES( 'SuperNOVA 1200', 'EVGA', '219.99', '1200W', '80+ Platinum');
INSERT INTO PSU VALUES( 'Power & Cooling PPCMK3S500', 'PC', '92.00', '500W', '80+ Bronze');
INSERT INTO PSU VALUES( 'RBR1000-M', 'Rosewill', '69.99', '1000W', '80+ Bronze');
INSERT INTO PSU VALUES( 'SuperNOVA 1000', 'EVGA', '179.99', '1000W', '80+ Platinum');
INSERT INTO PSU VALUES( 'SS-400FL2', 'SeaSonic', '119.99', '400W', '80+ Platinum');
INSERT INTO PSU VALUES( 'OCZ750FTY', 'OCZ', '129.03', '750W', '80+ Bronze');
INSERT INTO PSU VALUES( 'SuperNOVA 1000', 'EVGA', '148.99', '1000W', '80+ Gold');
INSERT INTO PSU VALUES( 'TX650', 'Corsair', '$0', '650W', '80+');
INSERT INTO PSU VALUES( 'NEO ECO 520C', 'Antec', '$0', '520W', '80+ Bronze');
INSERT INTO PSU VALUES( 'TX750', 'Corsair', '$0', '750W', '80+');
INSERT INTO PSU VALUES( 'RX-630SS', 'Raidmax', '33.99', '630W', '-');
INSERT INTO PSU VALUES( 'RS-700-AMBA-D3', 'Cooler Master', '$0', '700W', '80+ Bronze');
INSERT INTO PSU VALUES( 'OCZ-ZT650W', 'OCZ', '89.99', '650W', '80+ Bronze');
INSERT INTO PSU VALUES( 'CS650M', 'Corsair', '84.99', '650W', '80+ Gold');
INSERT INTO PSU VALUES( 'HX650', 'Corsair', '$0', '650W', '80+ Gold');
INSERT INTO PSU VALUES( 'W0319RU', 'Thermaltake', '$0', '850W', '80+ Bronze');
INSERT INTO PSU VALUES( 'TR-600', 'Thermaltake', '30.00', '600W', '-');
INSERT INTO PSU VALUES( 'TX650M', 'Corsair', '241.18', '650W', '80+ Bronze');
INSERT INTO PSU VALUES( 'RG630-S12', 'Rosewill', '$0', '630W', '80+');
INSERT INTO PSU VALUES( 'EA-750 Green', 'Antec', '$0', '750W', '80+ Bronze');
INSERT INTO PSU VALUES( 'Power & Cooling PPCMK2S950', 'PC', '$0', '950W', '80+ Silver');
INSERT INTO PSU VALUES( 'HX650', 'Corsair', '$0', '650W', '80+ Gold');
INSERT INTO PSU VALUES( 'P1-1050-BEFX', 'XFX', '99.99', '1050W', '80+ Gold');
INSERT INTO PSU VALUES( 'X-1250', 'SeaSonic', '188.99', '1250W', '80+ Gold');
INSERT INTO PSU VALUES( 'ST75F-P', 'Silverstone', '129.99', '750W', '80+ Silver');
INSERT INTO PSU VALUES( 'LIGHTNING-1300', 'Rosewill', '$0', '1300W', '80+ Gold');
INSERT INTO PSU VALUES( 'W0382RU', 'Thermaltake', '$0', '750W', '80+ Bronze');
INSERT INTO PSU VALUES( 'RX-850AE', 'Raidmax', '119.43', '850W', '80+ Gold');
INSERT INTO PSU VALUES( 'RX-530SS', 'Raidmax', '40.99', '530W', '-');
INSERT INTO PSU VALUES( 'RM650', 'Corsair', '86.99', '650W', '80+ Gold');
INSERT INTO PSU VALUES( 'OCZ600MXSP', 'OCZ', '213.96', '600W', '80+');
INSERT INTO PSU VALUES( 'Silent Pro M2', 'Cooler Master', '$0', '620W', '80+ Bronze');
INSERT INTO PSU VALUES( 'RSA00-SPM2D3-US', 'Cooler Master', '$0', '1000W', '80+ Silver');
INSERT INTO PSU VALUES( '100-N1-0400-L1', 'EVGA', '27.99', '400W', '-');
INSERT INTO PSU VALUES( 'SS-750AM', 'SeaSonic', '99.99', '750W', '80+ Bronze');
INSERT INTO PSU VALUES( 'SS-650AM', 'SeaSonic', '167.83', '650W', '80+ Bronze');
INSERT INTO PSU VALUES( 'X-1050', 'SeaSonic', '139.99', '1050W', '80+ Gold');
INSERT INTO PSU VALUES( 'OCZ500MXSP', 'OCZ', '54.99', '500W', '80+');
INSERT INTO PSU VALUES( 'ST50F-P', 'Silverstone', '69.36', '500W', '80+ Bronze');
INSERT INTO PSU VALUES( 'NEO ECO 620C', 'Antec', '64.99', '620W', '80+ Bronze');
INSERT INTO PSU VALUES( 'RG530-S12', 'Rosewill', '74.82', '530W', '80+');
INSERT INTO PSU VALUES( 'OCZ-ZT550W', 'OCZ', '62.99', '550W', '80+ Bronze');
INSERT INTO PSU VALUES( 'OCZ-ZX850W', 'OCZ', '159.99', '850W', '80+ Gold');
INSERT INTO PSU VALUES( 'FD-PSU-IN2B-650W', 'Fractal Design', '$0', '650W', '80+ Bronze');
INSERT INTO PSU VALUES( 'SP-750PCBUS', 'Thermaltake', '44.99', '750W', '80+ Bronze');
INSERT INTO PSU VALUES( 'SP-650PCBUS', 'Thermaltake', '34.99', '650W', '80+ Bronze');
INSERT INTO PSU VALUES( 'EA-380D Green', 'Antec', '42.99', '380W', '80+ Bronze');
INSERT INTO PSU VALUES( 'NEO ECO 400C', 'Antec', '$0', '400W', '80+');
INSERT INTO PSU VALUES( 'FD-PSU-NT3B-800W', 'Fractal Design', '139.99', '800W', '80+ Platinum');
INSERT INTO PSU VALUES( 'LSP750', 'Ultra', '100.15', '750W', '-');
INSERT INTO PSU VALUES( 'ETL650AWT', 'Enermax', '86.99', '650W', '80+ Bronze');
INSERT INTO PSU VALUES( 'PHOTON-550', 'Rosewill', '79.99', '550W', '80+ Gold');
INSERT INTO PSU VALUES( 'PHOTON-650', 'Rosewill', '69.99', '650W', '80+ Gold');
INSERT INTO PSU VALUES( 'RS550-AMAAG1-S1', 'Cooler Master', '49.99', '550W', '80+ Gold');
INSERT INTO PSU VALUES( 'AX650', 'Corsair', '$0', '650W', '80+ Gold');
INSERT INTO PSU VALUES( 'ST85F-GS', 'Silverstone', '149.98', '850W', '80+ Gold');
INSERT INTO PSU VALUES( 'TX850 V2', 'Corsair', '$0', '850W', '80+ Bronze');
INSERT INTO PSU VALUES( 'Tachyon-550', 'Rosewill', '$0', '550W', '80+ Platinum');
INSERT INTO PSU VALUES( 'ARC M450', 'Rosewill', '$0', '450W', '80+ Bronze');
INSERT INTO PSU VALUES( 'ARC M650', 'Rosewill', '49.99', '650W', '80+ Bronze');
INSERT INTO PSU VALUES( 'quiet! BN600', 'be', '$0', '550W', '80+ Gold');
INSERT INTO PSU VALUES( 'quiet! BN601', 'be', '179.99', '650W', '80+ Gold');
INSERT INTO PSU VALUES( 'quiet! BN603', 'be', '$0', '850W', '80+ Platinum');
INSERT INTO PSU VALUES( 'RX-1200AE', 'Raidmax', '132.98', '1200W', '80+ Bronze');
INSERT INTO PSU VALUES( 'HCP-1000', 'Antec', '199.99', '1000W', '80+ Platinum');
INSERT INTO PSU VALUES( 'FD-PSU-NT3B-600W', 'Fractal Design', '89.99', '600W', '80+ Platinum');
INSERT INTO PSU VALUES( 'PS-TPG-0850DPCGUS-1', 'Thermaltake', '189.95', '850W', '80+ Gold');
INSERT INTO PSU VALUES( 'PS-TPG-0850MPCGUS-1', 'Thermaltake', '79.99', '850W', '80+ Gold');
INSERT INTO PSU VALUES( 'SS-520FL', 'SeaSonic', '172.99', '520W', '80+ Platinum');
INSERT INTO PSU VALUES( 'Platinum-1200(SS-120', 'SeaSonic', '192.99', '1200W', '80+ Platinum');
INSERT INTO PSU VALUES( 'TX650', 'Corsair', '$0', '650W', '80+ Bronze');
INSERT INTO PSU VALUES( 'P1-650X-XXB9', 'XFX', '$0', '650W', '80+ Bronze');
INSERT INTO PSU VALUES( 'OCZ-ZT750W', 'OCZ', '99.99', '750W', '80+ Bronze');
INSERT INTO PSU VALUES( 'SP-850M', 'Thermaltake', '102.99', '850W', '80+ Bronze');
INSERT INTO PSU VALUES( 'Power & Cooling PPCMK3S750', 'PC', '159.03', '750W', '80+ Gold');
INSERT INTO PSU VALUES( 'CAPSTONE-750', 'Rosewill', '99.89', '750W', '80+ Gold');
INSERT INTO PSU VALUES( 'CAPSTONE-550', 'Rosewill', '$0', '550W', '80+ Gold');
INSERT INTO PSU VALUES( 'EA-650 Green', 'Antec', '66.99', '650W', '80+ Bronze');
INSERT INTO PSU VALUES( 'VP-450', 'Antec', '29.99', '450W', '-');
INSERT INTO PSU VALUES( 'Hive-550', 'Rosewill', '55.99', '550W', '80+ Bronze');
INSERT INTO PSU VALUES( 'S12II 620 Bronze', 'SeaSonic', '64.99', '620W', '80+ Bronze');
INSERT INTO PSU VALUES( 'LIGHTNING-800', 'Rosewill', '$0', '800W', '80+ Gold');
INSERT INTO PSU VALUES( 'AX1500i', 'Corsair', '409.99', '1500W', '80+ Titanium');
INSERT INTO PSU VALUES( 'P1-750B-NLG9', 'XFX', '$0', '750W', '80+ Silver');
INSERT INTO PSU VALUES( 'OCZ-ZX1000W', 'OCZ', '179.99', '1000W', '80+ Gold');
INSERT INTO PSU VALUES( 'SuperNOVA 850', 'EVGA', '59.99', '850W', '80+ Bronze');
INSERT INTO PSU VALUES( 'P1-650S-NLB9', 'XFX', '69.99', '650W', '80+ Bronze');
INSERT INTO PSU VALUES( 'P1-650B-BEFX', 'XFX', '86.98', '650W', '80+ Gold');
INSERT INTO PSU VALUES( 'RSA00-80GAD3-US', 'Cooler Master', '$0', '1000W', '80+ Gold');
INSERT INTO PSU VALUES( 'RSA00-AMBAJ3-US', 'Cooler Master', '$0', '1000W', '80+ Bronze');
INSERT INTO PSU VALUES( 'GS800', 'Corsair', '$0', '800W', '80+ Bronze');
INSERT INTO PSU VALUES( 'BP550 Plus', 'Antec', '$0', '550W', '80+');
INSERT INTO PSU VALUES( 'SX600-G', 'Silverstone', '117.99', '600W', '80+ Gold');
INSERT INTO PSU VALUES( 'CS850M', 'Corsair', '89.99', '850W', '80+ Gold');
INSERT INTO PSU VALUES( 'RS650-AMAAG1-S1', 'Cooler Master', '59.99', '650W', '80+ Gold');
INSERT INTO PSU VALUES( 'FORTRESS-650', 'Rosewill', '138.40', '650W', '80+ Platinum');
INSERT INTO PSU VALUES( 'RD700', 'Rosewill', '79.88', '700W', '-');
INSERT INTO PSU VALUES( 'HALE82N 750W', 'NZXT', '$0', '750W', '80+ Bronze');
INSERT INTO PSU VALUES( 'TPD-0550M', 'Thermaltake', '44.00', '550W', '80+ Gold');
INSERT INTO PSU VALUES( 'SS-760XP', 'SeaSonic', '159.99', '760W', '80+ Platinum');
INSERT INTO PSU VALUES( 'SuperNOVA 1200', 'EVGA', '219.99', '1200W', '80+ Platinum');
INSERT INTO PSU VALUES( 'Power & Cooling PPCMK3S500', 'PC', '92.00', '500W', '80+ Bronze');
INSERT INTO PSU VALUES( 'RBR1000-M', 'Rosewill', '69.99', '1000W', '80+ Bronze');
INSERT INTO PSU VALUES( 'SuperNOVA 1000', 'EVGA', '179.99', '1000W', '80+ Platinum');
INSERT INTO PSU VALUES( 'SS-400FL2', 'SeaSonic', '119.99', '400W', '80+ Platinum');
INSERT INTO PSU VALUES( 'OCZ750FTY', 'OCZ', '129.03', '750W', '80+ Bronze');
INSERT INTO PSU VALUES( 'SuperNOVA 1000', 'EVGA', '148.99', '1000W', '80+ Gold');
INSERT INTO PSU VALUES( 'TX650', 'Corsair', '$0', '650W', '80+');
INSERT INTO PSU VALUES( 'NEO ECO 520C', 'Antec', '$0', '520W', '80+ Bronze');
INSERT INTO PSU VALUES( 'TX750', 'Corsair', '$0', '750W', '80+');
INSERT INTO PSU VALUES( 'RX-630SS', 'Raidmax', '33.99', '630W', '-');
INSERT INTO PSU VALUES( 'RS-700-AMBA-D3', 'Cooler Master', '$0', '700W', '80+ Bronze');
INSERT INTO PSU VALUES( 'OCZ-ZT650W', 'OCZ', '89.99', '650W', '80+ Bronze');
INSERT INTO PSU VALUES( 'CS650M', 'Corsair', '84.99', '650W', '80+ Gold');
INSERT INTO PSU VALUES( 'HX650', 'Corsair', '$0', '650W', '80+ Gold');
INSERT INTO PSU VALUES( 'W0319RU', 'Thermaltake', '$0', '850W', '80+ Bronze');
INSERT INTO PSU VALUES( 'TR-600', 'Thermaltake', '30.00', '600W', '-');
INSERT INTO PSU VALUES( 'TX650M', 'Corsair', '241.18', '650W', '80+ Bronze');
INSERT INTO PSU VALUES( 'RG630-S12', 'Rosewill', '$0', '630W', '80+');
INSERT INTO PSU VALUES( 'EA-750 Green', 'Antec', '$0', '750W', '80+ Bronze');
INSERT INTO PSU VALUES( 'Power & Cooling PPCMK2S950', 'PC', '$0', '950W', '80+ Silver');
INSERT INTO PSU VALUES( 'HX650', 'Corsair', '$0', '650W', '80+ Gold');
INSERT INTO PSU VALUES( 'P1-1050-BEFX', 'XFX', '99.99', '1050W', '80+ Gold');
INSERT INTO PSU VALUES( 'X-1250', 'SeaSonic', '188.99', '1250W', '80+ Gold');
INSERT INTO PSU VALUES( 'ST75F-P', 'Silverstone', '129.99', '750W', '80+ Silver');
INSERT INTO PSU VALUES( 'LIGHTNING-1300', 'Rosewill', '$0', '1300W', '80+ Gold');
INSERT INTO PSU VALUES( 'W0382RU', 'Thermaltake', '$0', '750W', '80+ Bronze');
INSERT INTO PSU VALUES( 'RX-850AE', 'Raidmax', '119.43', '850W', '80+ Gold');
INSERT INTO PSU VALUES( 'RX-530SS', 'Raidmax', '40.99', '530W', '-');
INSERT INTO PSU VALUES( 'RM650', 'Corsair', '86.99', '650W', '80+ Gold');
INSERT INTO PSU VALUES( 'OCZ600MXSP', 'OCZ', '213.96', '600W', '80+');
INSERT INTO PSU VALUES( 'Silent Pro M2', 'Cooler Master', '$0', '620W', '80+ Bronze');
INSERT INTO PSU VALUES( 'RSA00-SPM2D3-US', 'Cooler Master', '$0', '1000W', '80+ Silver');
INSERT INTO PSU VALUES( '100-N1-0400-L1', 'EVGA', '27.99', '400W', '-');
INSERT INTO PSU VALUES( 'SS-750AM', 'SeaSonic', '99.99', '750W', '80+ Bronze');
INSERT INTO PSU VALUES( 'SS-650AM', 'SeaSonic', '167.83', '650W', '80+ Bronze');
INSERT INTO PSU VALUES( 'X-1050', 'SeaSonic', '139.99', '1050W', '80+ Gold');
INSERT INTO PSU VALUES( 'OCZ500MXSP', 'OCZ', '54.99', '500W', '80+');
INSERT INTO PSU VALUES( 'ST50F-P', 'Silverstone', '69.36', '500W', '80+ Bronze');
INSERT INTO PSU VALUES( 'NEO ECO 620C', 'Antec', '64.99', '620W', '80+ Bronze');
INSERT INTO PSU VALUES( 'RG530-S12', 'Rosewill', '74.82', '530W', '80+');
INSERT INTO PSU VALUES( 'OCZ-ZT550W', 'OCZ', '62.99', '550W', '80+ Bronze');
INSERT INTO PSU VALUES( 'OCZ-ZX850W', 'OCZ', '159.99', '850W', '80+ Gold');
INSERT INTO PSU VALUES( 'FD-PSU-IN2B-650W', 'Fractal Design', '$0', '650W', '80+ Bronze');
INSERT INTO PSU VALUES( 'SP-750PCBUS', 'Thermaltake', '44.99', '750W', '80+ Bronze');
