INSERT INTO HARD_DRIVE VALUES( 'WD10EZEX', 'Western Digital', '44.99', '64MB', '7200RPM', '1TB');
INSERT INTO HARD_DRIVE VALUES( 'ARC100-25SAT3-240G', 'OCZ', '64.99', 'N/A', 'SSD', '240GB');
INSERT INTO HARD_DRIVE VALUES( 'ST2000DX001', 'Seagate', '79.99', '64MB', 'Hybrid', '2TB');
INSERT INTO HARD_DRIVE VALUES( 'MZ-7KE1T0BW', 'Samsung', '424.53', 'N/A', 'SSD', '1TB');
INSERT INTO HARD_DRIVE VALUES( 'E7K1000', 'Hitachi', '43.00', '32MB', '7200RPM', '1TB');
INSERT INTO HARD_DRIVE VALUES( 'SSDPECME040T401', 'Intel', '0', 'N/A', 'SSD', '4TB');
INSERT INTO HARD_DRIVE VALUES( 'SHFS37A/120G', 'Kingston', '55.00', 'N/A', 'SSD', '120GB');
INSERT INTO HARD_DRIVE VALUES( 'ST3250312AS', 'Seagate', '19.95', '8MB', '7200RPM', '250GB');
INSERT INTO HARD_DRIVE VALUES( 'ST8000AS0002', 'Seagate', '230.35', '128MB', '5900RPM', '8TB');
INSERT INTO HARD_DRIVE VALUES( 'DT01ACA100', 'Toshiba', '49.89', '32MB', '7200RPM', '1TB');
INSERT INTO HARD_DRIVE VALUES( 'MZ-N5E250BW', 'Samsung', '77.99', 'N/A', 'SSD', '250GB');
INSERT INTO HARD_DRIVE VALUES( 'CT500BX100SSD1', 'Crucial', '159.99', 'N/A', 'SSD', '500GB');
INSERT INTO HARD_DRIVE VALUES( 'MZ-7TE120BW', 'Samsung', '81.88', 'N/A', 'SSD', '120GB');
INSERT INTO HARD_DRIVE VALUES( 'A7K1000-750', 'Hitachi', '34.99', '32MB', '7200RPM', '750GB');
INSERT INTO HARD_DRIVE VALUES( 'WD6001FZWX', 'Western Digital', '299.99', '128MB', '7200RPM', '6TB');
INSERT INTO HARD_DRIVE VALUES( 'WD5000AAKS', 'Western Digital', '42.00', '16MB', '7200RPM', '500GB');
INSERT INTO HARD_DRIVE VALUES( 'SSDPEDMW012T4R5', 'Intel', '1084.98', 'N/A', 'SSD', '1.2TB');
INSERT INTO HARD_DRIVE VALUES( 'WD20EZRX', 'Western Digital', '74.98', '64MB', '5400RPM', '2TB');
INSERT INTO HARD_DRIVE VALUES( 'MZ-N5E500BW', 'Samsung', '147.99', 'N/A', 'SSD', '500GB');
INSERT INTO HARD_DRIVE VALUES( 'MZ-75E2T0B/AM', 'Samsung', '697.99', 'N/A', 'SSD', '2TB');
INSERT INTO HARD_DRIVE VALUES( 'CT512MX100SSD1', 'Crucial', '0', 'N/A', 'SSD', '512GB');
INSERT INTO HARD_DRIVE VALUES( 'ZD4RM84-HH-1.2T', 'OCZ', '7399.99', 'N/A', 'SSD', '1.2TB');
INSERT INTO HARD_DRIVE VALUES( 'SSDPEDMW400G4R5', 'Intel', '389.99', 'N/A', 'SSD', '400GB');
INSERT INTO HARD_DRIVE VALUES( 'WD30EFRX', 'Western Digital', '109.89', '64MB', '5400RPM', '3TB');
INSERT INTO HARD_DRIVE VALUES( 'WD1002FAEX', 'Western Digital', '69.75', '64MB', '7200RPM', '1TB');
INSERT INTO HARD_DRIVE VALUES( 'WD3003FZEX', 'Western Digital', '149.89', '64MB', '7200RPM', '3TB');
INSERT INTO HARD_DRIVE VALUES( 'MZ-7TE1T0BW', 'Samsung', '399.98', 'N/A', 'SSD', '1TB');
INSERT INTO HARD_DRIVE VALUES( 'WD3200AAJS', 'Western Digital', '22.90', '8MB', '7200RPM', '320GB');
INSERT INTO HARD_DRIVE VALUES( 'WD10EZRX', 'Western Digital', '49.89', '64MB', '5400RPM', '1TB');
INSERT INTO HARD_DRIVE VALUES( 'SD8SBAT-128G-1122', 'Sandisk', '42.99', 'N/A', 'SSD', '128GB');
INSERT INTO HARD_DRIVE VALUES( 'WD30EZRX', 'Western Digital', '84.99', '64MB', '5400RPM', '3TB');
INSERT INTO HARD_DRIVE VALUES( 'SSDSC2BA012T401', 'Intel', '1600.00', 'N/A', 'SSD', '1.2TB');
INSERT INTO HARD_DRIVE VALUES( '0F23668', 'Hitachi', '447.50', '128MB', '7200RPM', '8TB');
INSERT INTO HARD_DRIVE VALUES( 'MZ-7KE128BW', 'Samsung', '87.88', 'N/A', 'SSD', '128GB');
INSERT INTO HARD_DRIVE VALUES( 'TRN100-25SAT3-240G', 'OCZ', '59.99', 'N/A', 'SSD', '240GB');
INSERT INTO HARD_DRIVE VALUES( 'PH3500U-1I72', 'Toshiba', '144.99', '128MB', '7200RPM', '5TB');
INSERT INTO HARD_DRIVE VALUES( 'SHFS37A/240G', 'Kingston', '89.99', 'N/A', 'SSD', '240GB');
INSERT INTO HARD_DRIVE VALUES( 'MZ-7PD256BW', 'Samsung', '198.89', 'N/A', 'SSD', '256GB');
INSERT INTO HARD_DRIVE VALUES( 'ST500DM002', 'Seagate', '41.89', '16MB', '7200RPM', '500GB');
INSERT INTO HARD_DRIVE VALUES( 'WD5000AAKX', 'Western Digital', '47.99', '16MB', '7200RPM', '500GB');
INSERT INTO HARD_DRIVE VALUES( 'CT256MX100SSD1', 'Crucial', '112.00', 'N/A', 'SSD', '256GB');
INSERT INTO HARD_DRIVE VALUES( 'SSDSC2BP240G4R5', 'Intel', '150.98', 'N/A', 'SSD', '240GB');
INSERT INTO HARD_DRIVE VALUES( 'TRN100-25SAT3-120G', 'OCZ', '34.99', 'N/A', 'SSD', '120GB');
INSERT INTO HARD_DRIVE VALUES( 'ARC100-25SAT3-120G', 'OCZ', '44.99', 'N/A', 'SSD', '120GB');
INSERT INTO HARD_DRIVE VALUES( 'CT250MX200SSD1', 'Crucial', '89.99', 'N/A', 'SSD', '250GB');
INSERT INTO HARD_DRIVE VALUES( 'ST4000DX001', 'Seagate', '129.99', '64MB', 'Hybrid', '4TB');
INSERT INTO HARD_DRIVE VALUES( 'WD60EZRX', 'Western Digital', '221.99', '64MB', '5400RPM', '6TB');
INSERT INTO HARD_DRIVE VALUES( 'SSDSC2BP480G4R5', 'Intel', '269.99', 'N/A', 'SSD', '480GB');
INSERT INTO HARD_DRIVE VALUES( 'SHSS37A/240G', 'Kingston', '98.98', 'N/A', 'SSD', '240GB');
INSERT INTO HARD_DRIVE VALUES( 'WD40EFRX', 'Western Digital', '149.00', '64MB', '5900RPM', '4TB');
INSERT INTO HARD_DRIVE VALUES( 'MZHPV256HDGL-00000', 'Samsung', '188.16', '512MB', 'SSD', '256GB');
INSERT INTO HARD_DRIVE VALUES( 'DT01ACA300', 'Toshiba', '84.60', '64MB', '7200RPM', '3TB');
INSERT INTO HARD_DRIVE VALUES( 'ASP550SS3-120GM-C', 'A-Data', '39.99', 'N/A', 'SSD', '120GB');
INSERT INTO HARD_DRIVE VALUES( 'ASP600S3-128GM-C', 'A-Data', '44.99', 'N/A', 'SSD', '128GB');
INSERT INTO HARD_DRIVE VALUES( 'MKNSSDRE1TB', 'Mushkin', '320.99', 'N/A', 'SSD', '1TB');
INSERT INTO HARD_DRIVE VALUES( 'Power S60 3K P/E', 'Silicon', '41.99', 'N/A', 'SSD', '120GB');
INSERT INTO HARD_DRIVE VALUES( 'RM88', 'OCZ', '0', 'N/A', 'SSD', '1.6TB');
INSERT INTO HARD_DRIVE VALUES( 'CT1000BX100SSD1', 'Crucial', '418.98', 'N/A', 'SSD', '1TB');
INSERT INTO HARD_DRIVE VALUES( '840 EVO', 'Samsung', '0', 'N/A', 'SSD', '250GB');
INSERT INTO HARD_DRIVE VALUES( 'SDSSDHII-480G-G25', 'Sandisk', '109.99', 'N/A', 'SSD', '480GB');
INSERT INTO HARD_DRIVE VALUES( 'SD8SBAT-256G-1122', 'Sandisk', '75.99', 'N/A', 'SSD', '256GB');
INSERT INTO HARD_DRIVE VALUES( 'PB120GS25SSDR', 'Patriot', '41.99', '32MB', 'SSD', '120GB');
INSERT INTO HARD_DRIVE VALUES( 'SV300S37A/60G', 'Kingston', '41.84', 'N/A', 'SSD', '60GB');
INSERT INTO HARD_DRIVE VALUES( 'ASP550SS3-480GM-C', 'A-Data', '119.99', 'N/A', 'SSD', '480GB');
INSERT INTO HARD_DRIVE VALUES( 'ST4000DM000', 'Seagate', '115.49', '64MB', '5900RPM', '4TB');
INSERT INTO HARD_DRIVE VALUES( 'WD1600AVJS', 'Western Digital', '19.90', '8MB', '7200RPM', '160GB');
INSERT INTO HARD_DRIVE VALUES( 'ASP550SS3-240GM-C', 'A-Data', '62.99', 'N/A', 'SSD', '240GB');
INSERT INTO HARD_DRIVE VALUES( 'WD20EFRX', 'Western Digital', '89.88', '64MB', '5400RPM', '2TB');
INSERT INTO HARD_DRIVE VALUES( 'WD6001FFWX', 'Western Digital', '269.99', '128MB', '7200RPM', '6TB');
INSERT INTO HARD_DRIVE VALUES( 'T253L5120GMC101', 'Team', '39.99', 'N/A', 'SSD', '120GB');
INSERT INTO HARD_DRIVE VALUES( 'MZHPV512HDGL-00000', 'Samsung', '337.20', '512MB', 'SSD', '512GB');
INSERT INTO HARD_DRIVE VALUES( 'ST3500312CS', 'Seagate', '34.95', '8MB', '5900RPM', '500GB');
INSERT INTO HARD_DRIVE VALUES( 'MZHPV128HDGM-00000', 'Samsung', '128.85', '256MB', 'SSD', '128GB');
INSERT INTO HARD_DRIVE VALUES( 'SDSSDHII-240G-G25', 'Sandisk', '79.99', 'N/A', 'SSD', '240GB');
INSERT INTO HARD_DRIVE VALUES( 'WD10EALX', 'Western Digital', '59.75', '32MB', '7200RPM', '1TB');
INSERT INTO HARD_DRIVE VALUES( 'WD1002F9YZ', 'Western Digital', '83.43', '128MB', '7200RPM', '1TB');
INSERT INTO HARD_DRIVE VALUES( 'ASP600S3-64GM-C', 'A-Data', '33.98', 'N/A', 'SSD', '64GB');
INSERT INTO HARD_DRIVE VALUES( 'DT01ACA200', 'Toshiba', '66.59', '64MB', '7200RPM', '2TB');
INSERT INTO HARD_DRIVE VALUES( 'MZ-7PD128BW', 'Samsung', '109.98', 'N/A', 'SSD', '128GB');
INSERT INTO HARD_DRIVE VALUES( 'CSSD-F120GBLSB', 'Corsair', '50.98', 'N/A', 'SSD', '120GB');
INSERT INTO HARD_DRIVE VALUES( 'ST3500418AS', 'Seagate', '37.90', '16MB', '7200RPM', '500GB');
INSERT INTO HARD_DRIVE VALUES( 'CT1000MX200SSD1', 'Crucial', '319.99', 'N/A', 'SSD', '1TB');
INSERT INTO HARD_DRIVE VALUES( 'MZHPU512HCGL-00000', 'Samsung', '306.48', '512MB', 'SSD', '512GB');
INSERT INTO HARD_DRIVE VALUES( 'RADEON-R7SSD-240G', 'AMD', '64.99', 'N/A', 'SSD', '240GB');
INSERT INTO HARD_DRIVE VALUES( 'WD1000DHTZ', 'Western Digital', '209.99', '64MB', '10000RPM', '1TB');
INSERT INTO HARD_DRIVE VALUES( 'SSDPEDMW400G4X1', 'Intel', '299.99', 'N/A', 'SSD', '400GB');
INSERT INTO HARD_DRIVE VALUES( 'CT120BX100SSD1', 'Crucial', '69.98', 'N/A', 'SSD', '120GB');
INSERT INTO HARD_DRIVE VALUES( 'SV300S37A/480G', 'Kingston', '156.99', 'N/A', 'SSD', '480GB');
INSERT INTO HARD_DRIVE VALUES( 'CT500MX200SSD1', 'Crucial', '159.99', 'N/A', 'SSD', '500GB');
INSERT INTO HARD_DRIVE VALUES( 'WD2002FAEX', 'Western Digital', '138.89', '64MB', '7200RPM', '2TB');
INSERT INTO HARD_DRIVE VALUES( '7K2000', 'Hitachi', '0', '32MB', '7200RPM', '2TB');
INSERT INTO HARD_DRIVE VALUES( 'MKNSSDEC512GB', 'Mushkin', '134.99', 'N/A', 'SSD', '512GB');
INSERT INTO HARD_DRIVE VALUES( 'Travelstar', 'Hitachi', '57.60', '32MB', '7200RPM', '1TB');
INSERT INTO HARD_DRIVE VALUES( 'SDSSDHII-120G-G25', 'Sandisk', '55.98', 'N/A', 'SSD', '120GB');
INSERT INTO HARD_DRIVE VALUES( 'ASP600S3-256GM-C', 'A-Data', '74.99', 'N/A', 'SSD', '256GB');
INSERT INTO HARD_DRIVE VALUES( 'MZ-7TE500BW', 'Samsung', '210.89', 'N/A', 'SSD', '500GB');
INSERT INTO HARD_DRIVE VALUES( 'HMH7210A0ALE601', 'Hitachi', '0', '256MB', '7200RPM', '10TB');
INSERT INTO HARD_DRIVE VALUES( 'ST31000340NS - FFP', 'Seagate', '143.46', '32MB', '7200RPM', '1TB');
INSERT INTO HARD_DRIVE VALUES( 'A7K2000', 'Hitachi', '34.95', '32MB', '7200RPM', '500GB');
INSERT INTO HARD_DRIVE VALUES( 'PBT120GS25SSDBK', 'Patriot', '39.99', '256MB', 'SSD', '120GB');
INSERT INTO HARD_DRIVE VALUES( 'MZ-N5E120BW', 'Samsung', '69.99', 'N/A', 'SSD', '120GB');
INSERT INTO HARD_DRIVE VALUES( 'WD2500AVVS', 'Western Digital', '19.95', '8MB', '5400RPM', '250GB');
INSERT INTO HARD_DRIVE VALUES( 'WD40EZRX', 'Western Digital', '124.99', '64MB', '5900RPM', '4TB');
INSERT INTO HARD_DRIVE VALUES( 'MZHPU256HCGL-00000', 'Samsung', '179.50', '512MB', 'SSD', '256GB');
INSERT INTO HARD_DRIVE VALUES( 'ST1000LM014', 'Seagate', '76.99', '64MB', 'Hybrid', '1TB');
INSERT INTO HARD_DRIVE VALUES( 'PH3400U-1I72', 'Toshiba', '119.99', '128MB', '7200RPM', '4TB');
INSERT INTO HARD_DRIVE VALUES( 'ASP600S3-32GM-C', 'A-Data', '34.43', 'N/A', 'SSD', '32GB');
INSERT INTO HARD_DRIVE VALUES( 'SSDPEDMW012T401', 'Intel', '1039.99', 'N/A', 'SSD', '1.2TB');
INSERT INTO HARD_DRIVE VALUES( '0S03664', 'Hitachi', '169.89', '64MB', '7200RPM', '4TB');
INSERT INTO HARD_DRIVE VALUES( 'WD4001FFSX', 'Western Digital', '210.99', '64MB', '7200RPM', '4TB');
INSERT INTO HARD_DRIVE VALUES( 'WD60EFRX', 'Western Digital', '242.95', '64MB', '5400RPM', '6TB');
INSERT INTO HARD_DRIVE VALUES( 'WD40E31X', 'Western Digital', '173.99', '64MB', 'Hybrid', '4TB');
INSERT INTO HARD_DRIVE VALUES( 'SDSSDP-064G-G25', 'Sandisk', '0', 'N/A', 'SSD', '64GB');
INSERT INTO HARD_DRIVE VALUES( '0F10311', 'Hitachi', '59.90', '32MB', '7200RPM', '2TB');
INSERT INTO HARD_DRIVE VALUES( 'SDSSDHII-960G-G25', 'Sandisk', '199.99', 'N/A', 'SSD', '960GB');
INSERT INTO HARD_DRIVE VALUES( 'SSDPEDMD800G401', 'Intel', '1699.99', 'N/A', 'SSD', '800GB');
INSERT INTO HARD_DRIVE VALUES( 'ST3320311CS', 'Seagate', '23.00', '8MB', '5900RPM', '320GB');
INSERT INTO HARD_DRIVE VALUES( 'MKNSSDEC120GB', 'Mushkin', '44.99', 'N/A', 'SSD', '120GB');
INSERT INTO HARD_DRIVE VALUES( 'Power S60 3K P/E', 'Silicon', '68.98', 'N/A', 'SSD', '240GB');
INSERT INTO HARD_DRIVE VALUES( 'PB60GS25SSDR', 'Patriot', '38.98', '32MB', 'SSD', '60GB');
INSERT INTO HARD_DRIVE VALUES( 'WD10JPVX', 'Western Digital', '59.46', '8MB', '5400RPM', '1TB');
INSERT INTO HARD_DRIVE VALUES( 'SDSSDHP-256G-G25', 'Sandisk', '91.95', 'N/A', 'SSD', '256GB');
INSERT INTO HARD_DRIVE VALUES( 'SHPM2280P2H/240G', 'Kingston', '205.56', 'N/A', 'SSD', '240GB');
INSERT INTO HARD_DRIVE VALUES( 'WD5003AZEX', 'Western Digital', '62.99', '64MB', '7200RPM', '500GB');
INSERT INTO HARD_DRIVE VALUES( 'SSDPEDMW800G4X1', 'Intel', '499.99', 'N/A', 'SSD', '800GB');
INSERT INTO HARD_DRIVE VALUES( 'SHPM2280P2/240G', 'Kingston', '199.99', 'N/A', 'SSD', '240GB');
INSERT INTO HARD_DRIVE VALUES( 'MKNSSDRE256GB', 'Mushkin', '79.99', 'N/A', 'SSD', '256GB');
INSERT INTO HARD_DRIVE VALUES( 'DT01ACA050', 'Toshiba', '43.95', '32MB', '7200RPM', '500GB');
INSERT INTO HARD_DRIVE VALUES( 'HUH728080ALE604 (0F23668)', 'Hitachi', '0', '128MB', '7200RPM', '8TB');
INSERT INTO HARD_DRIVE VALUES( 'ST1000NM0033', 'Seagate', '86.89', '128MB', '7200RPM', '1TB');
INSERT INTO HARD_DRIVE VALUES( 'SDSSDXPS-480G-G25', 'Sandisk', '164.00', 'N/A', 'SSD', '480GB');
INSERT INTO HARD_DRIVE VALUES( 'WD5000LPVX', 'Western Digital', '39.99', '8MB', '5400RPM', '500GB');
INSERT INTO HARD_DRIVE VALUES( 'WD10EAVS', 'Western Digital', '51.50', '64MB', '5400RPM', '1TB');
INSERT INTO HARD_DRIVE VALUES( 'ST2000VX000', 'Seagate', '76.49', '64MB', '7200RPM', '2TB');
INSERT INTO HARD_DRIVE VALUES( 'SH103S3/120G', 'Kingston', '0', 'N/A', 'SSD', '120GB');
INSERT INTO HARD_DRIVE VALUES( 'SDSSDXPS-240G-G25', 'Sandisk', '94.99', 'N/A', 'SSD', '240GB');
INSERT INTO HARD_DRIVE VALUES( 'ST2000VM002', 'Seagate', '62.00', '64MB', '5900RPM', '2TB');
INSERT INTO HARD_DRIVE VALUES( 'STBD2000101', 'Seagate', '84.99', '64MB', '7200RPM', '2TB');
INSERT INTO HARD_DRIVE VALUES( 'WD1600AAJS', 'Western Digital', '23.50', '8MB', '7200RPM', '160GB');
INSERT INTO HARD_DRIVE VALUES( 'SSD7SC240GOPT-RB', 'PNY', '89.00', 'N/A', 'SSD', '240GB');
INSERT INTO HARD_DRIVE VALUES( 'WD10EALS', 'Western Digital', '69.88', '32MB', '7200RPM', '1TB');
INSERT INTO HARD_DRIVE VALUES( 'SDSSDP-128G-G25', 'Sandisk', '79.89', 'N/A', 'SSD', '128GB');
INSERT INTO HARD_DRIVE VALUES( 'MZ-7TD250BW', 'Samsung', '131.23', 'N/A', 'SSD', '250GB');
INSERT INTO HARD_DRIVE VALUES( 'ST3160318AS-FFP', 'Seagate', '23.90', '8MB', '7200RPM', '160GB');
INSERT INTO HARD_DRIVE VALUES( 'WD3001FFSX', 'Western Digital', '161.99', '64MB', '7200RPM', '3TB');
INSERT INTO HARD_DRIVE VALUES( 'WD4001FAEX', 'Western Digital', '0', '64MB', '7200RPM', '4TB');
INSERT INTO HARD_DRIVE VALUES( 'SHSS37A/960G', 'Kingston', '389.99', 'N/A', 'SSD', '960GB');
INSERT INTO HARD_DRIVE VALUES( 'WD10EFRX', 'Western Digital', '62.75', '64MB', '5400RPM', '1TB');
INSERT INTO HARD_DRIVE VALUES( 'ST500LT012', 'Seagate', '44.99', '16MB', '5400RPM', '500GB');
INSERT INTO HARD_DRIVE VALUES( 'STBD1000400', 'Seagate', '89.99', '64MB', 'Hybrid', '1TB');
INSERT INTO HARD_DRIVE VALUES( 'WD2500AAKX', 'Western Digital', '39.29', '16MB', '7200RPM', '250GB');
INSERT INTO HARD_DRIVE VALUES( 'WD30EZRZ', 'Western Digital', '99.99', '64MB', '5400RPM', '3TB');
INSERT INTO HARD_DRIVE VALUES( 'SHSS37A/120G', 'Kingston', '68.99', 'N/A', 'SSD', '120GB');
INSERT INTO HARD_DRIVE VALUES( 'WD800AAJS', 'Western Digital', '22.95', '8MB', '7200RPM', '80GB');
INSERT INTO HARD_DRIVE VALUES( 'ST310005N1A1AS-RK', 'Seagate', '59.97', '64MB', '7200RPM', '1TB');
INSERT INTO HARD_DRIVE VALUES( 'ASP900S3-128GM-C', 'A-Data', '49.99', 'N/A', 'SSD', '128GB');
INSERT INTO HARD_DRIVE VALUES( 'CSSD-N240GBXTB', 'Corsair', '84.99', 'N/A', 'SSD', '240GB');
INSERT INTO HARD_DRIVE VALUES( 'SSDSC2BW240A4K5', 'Intel', '137.85', 'N/A', 'SSD', '240GB');
INSERT INTO HARD_DRIVE VALUES( 'PH3200U-1I72', 'Toshiba', '70.98', '64MB', '7200RPM', '2TB');
INSERT INTO HARD_DRIVE VALUES( 'CSSD-F60GBLSB', 'Corsair', '46.99', 'N/A', 'SSD', '60GB');
INSERT INTO HARD_DRIVE VALUES( 'CSSD-F256GBLX', 'Corsair', '99.99', 'N/A', 'SSD', '256GB');
INSERT INTO HARD_DRIVE VALUES( 'WD5001FZWX', 'Western Digital', '199.99', '128MB', '7200RPM', '5TB');
INSERT INTO HARD_DRIVE VALUES( 'WD10EURX', 'Western Digital', '56.99', '64MB', '5400RPM', '1TB');
INSERT INTO HARD_DRIVE VALUES( 'HDKPC03', 'Toshiba', '49.98', '32MB', '7200RPM', '1TB');
INSERT INTO HARD_DRIVE VALUES( 'ST500LM020', 'Seagate', '58.95', 'N/A', 'Hybrid', '500GB');
INSERT INTO HARD_DRIVE VALUES( 'TS256GSSD370S', 'Transcend', '86.59', 'N/A', 'SSD', '256GB');
INSERT INTO HARD_DRIVE VALUES( 'ST31000524AS', 'Seagate', '65.98', '32MB', '7200RPM', '1TB');
INSERT INTO HARD_DRIVE VALUES( 'WD1002FBYS', 'Western Digital', '56.00', '32MB', '7200RPM', '1TB');
INSERT INTO HARD_DRIVE VALUES( 'CSSD-N960GBXT', 'Corsair', '539.99', 'N/A', 'SSD', '960GB');
INSERT INTO HARD_DRIVE VALUES( 'TRN100-25SAT3-960G', 'OCZ', '239.99', 'N/A', 'SSD', '960GB');
INSERT INTO HARD_DRIVE VALUES( 'WD1000CHTZ', 'Western Digital', '261.37', '64MB', '10000RPM', '1TB');
INSERT INTO HARD_DRIVE VALUES( 'WD2500AAJS', 'Western Digital', '23.65', '8MB', '7200RPM', '250GB');
INSERT INTO HARD_DRIVE VALUES( 'SHSS37A/480G', 'Kingston', '184.99', 'N/A', 'SSD', '480GB');
INSERT INTO HARD_DRIVE VALUES( 'TRN100-25SAT3-480G', 'OCZ', '129.99', 'N/A', 'SSD', '480GB');
INSERT INTO HARD_DRIVE VALUES( 'WD1001FALS', 'Western Digital', '73.88', '32MB', '7200RPM', '1TB');
INSERT INTO HARD_DRIVE VALUES( 'SH103S3/240G', 'Kingston', '128.99', 'N/A', 'SSD', '240GB');
INSERT INTO HARD_DRIVE VALUES( 'HUA723020ALA640', 'Hitachi', '0', '64MB', '7200RPM', '2TB');
INSERT INTO HARD_DRIVE VALUES( 'WD2001FFSX', 'Western Digital', '133.99', '64MB', '7200RPM', '2TB');
INSERT INTO HARD_DRIVE VALUES( 'A7K1000-1000', 'Hitachi', '54.00', '32MB', '7200RPM', '1TB');
INSERT INTO HARD_DRIVE VALUES( 'SSDSC2BW120A401', 'Intel', '93.26', 'N/A', 'SSD', '120GB');
INSERT INTO HARD_DRIVE VALUES( 'ST2000LM003', 'Samsung', '94.06', '32MB', '5400RPM', '2TB');
INSERT INTO HARD_DRIVE VALUES( '7K1000.C', 'Hitachi', '49.90', '32MB', '7200RPM', '1TB');
INSERT INTO HARD_DRIVE VALUES( 'SDSSDHP-128G-G25', 'Sandisk', '59.36', 'N/A', 'SSD', '128GB');
INSERT INTO HARD_DRIVE VALUES( 'STCL4000400 Retail Kit', 'Seagate', '169.99', '64MB', 'Hybrid', '4TB');
INSERT INTO HARD_DRIVE VALUES( 'CT500MX200SSD4', 'Crucial', '174.99', 'N/A', 'SSD', '500GB');
INSERT INTO HARD_DRIVE VALUES( 'CT128MX100SSD1', 'Crucial', '0', 'N/A', 'SSD', '128GB');
INSERT INTO HARD_DRIVE VALUES( 'HDKPC08', 'Toshiba', '93.98', '64MB', '7200RPM', '3TB');
INSERT INTO HARD_DRIVE VALUES( 'CSSD-N480GBXTB', 'Corsair', '174.99', 'N/A', 'SSD', '480GB');
INSERT INTO HARD_DRIVE VALUES( 'CT500MX200SSD6', 'Crucial', '170.95', 'N/A', 'SSD', '500GB');
INSERT INTO HARD_DRIVE VALUES( 'WD5000LPLX', 'Western Digital', '51.99', '32MB', '7200RPM', '500GB');
INSERT INTO HARD_DRIVE VALUES( 'RADEON-R7SSD-120G', 'AMD', '44.99', 'N/A', 'SSD', '120GB');
INSERT INTO HARD_DRIVE VALUES( 'SHPM2280P2/480G', 'Kingston', '409.99', 'N/A', 'SSD', '480GB');
INSERT INTO HARD_DRIVE VALUES( 'CT240M500SSD1', 'Crucial', '99.00', 'N/A', 'SSD', '240GB');
INSERT INTO HARD_DRIVE VALUES( '0F10452', 'Hitachi', '65.00', '32MB', '7200RPM', '2TB');
INSERT INTO HARD_DRIVE VALUES( 'ST6000DM001', 'Seagate', '229.00', '128MB', '7200RPM', '6TB');
